Year,State,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
2001,Florida,0.010670444,0.015655682,4.086363636,15.69090909,0.255226549,0.313863636,2.770454545,3.593181818,0.45844873,1.743181818,3.919318182,2.460227273,4.925840306,10.61818182,4.418181818,9.982954545
2001,Illinois,0.020275292,0.031528409,9.436363636,32.09886364,0.530527494,0.766818182,7.471590909,8.7875,4.917436231,19.19659091,9.004545455,24.57954545,19.97935561,35.76931818,11.62840909,33.86590909
2001,Indiana,0.007222073,0.010404545,2.197727273,11.725,0.077497557,0.102840909,1.286363636,1.181818182,0.662546788,2.702272727,1.9625,3.8,3.023541081,6.618181818,2.568181818,6.2375
2001,Kansas,0.025180941,0.034478409,9.298863636,35.15340909,0.284899616,0.47875,6.170454545,5.372727273,0.849333361,3.205681818,6.747727273,4.502272727,8.975012007,17.35795455,9.2375,16.44545455
2001,Kentucky,0.039094114,0.055581818,12.67840909,59.7375,0.15459581,0.279659091,5.582954545,3.114772727,4.809884249,18.02613636,12.11363636,25.075,14.82197588,33.2625,15.09659091,31.37954545
2001,Louisiana,0.010248728,0.015856818,4.063636364,16.525,0.338113939,0.455568182,3.234090909,5.1875,1.506232493,5.3875,4.480681818,7.576136364,7.049991619,14.0875,4.976136364,13.31136364
2001,Massachusetts,0.006056285,0.008747727,3.231818182,8.978409091,0.088662022,0.165,2.793181818,1.889772727,1.750323967,3.344318182,3.007954545,4.772727273,7.105219066,11,3.854545455,10.40454545
2001,Michigan,0.005265039,0.007811364,1.8375,8.907954545,0.066412155,0.119659091,1.393181818,1.359090909,0.90550339,3.904545455,1.909090909,5.161363636,3.805274532,7.320454545,2.004545455,6.946590909
2001,Missouri,0.016031415,0.023607955,5.305681818,26.04318182,0.250843694,0.370681818,4.310227273,4.271590909,2.161806465,8.3,5.507954545,11.64090909,8.665364239,17.70454545,6.448863636,16.73863636
2001,Nevada,0.003362731,0.003875,1.35,3.593181818,0.007272723,0.014772727,0.609090909,0.164772727,0.030500656,0.268181818,0.309090909,0.384090909,0.6143366,1.840909091,1.1,1.734090909
2001,New Jersey,0.0129423,0.019271591,5.517045455,21.80568182,0.323658582,0.467840909,4.428409091,5.361363636,3.024763119,7.904545455,4.984090909,11.08636364,12.09366171,21.00454545,6.477272727,19.92386364
2001,New York,0.028550719,0.041928409,13.85454545,43.90227273,0.631619806,0.936363636,10.84318182,10.66931818,9.963445889,20.19772727,12.61704545,28.63977273,31.87424385,52.23977273,16.27613636,49.60113636
